# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
商店,商店,shāng diàn,"store
shop",路上没有人，路边的商店也都关门了。,路上沒有人，路邊的商店也都關門了。,lù shang méi yǒu rén ， lù biān de shāng diàn yě dōu guān mén le 。,"There was nobody on the road, and the shops by the side of the road were all closed."
路上,路上,lù shang,"on the road
on a journey",路上没有人，路边的商店也都关门了。,路上沒有人，路邊的商店也都關門了。,lù shang méi yǒu rén ， lù biān de shāng diàn yě dōu guān mén le 。,"There was nobody on the road, and the shops by the side of the road were all closed."
但,但,dàn,"but
however",下雨了，虽然雨不大，但天气很冷。,下雨了，雖然雨不大，但天氣很冷。,xià yǔ le ， suī rán yǔ bú dà ， dàn tiān qì hěn lěng 。,"It was raining. Although the rain wasn’t heavy, the weather was very cold."
虽然,雖然,suī rán,"although
even though",下雨了，虽然雨不大，但天气很冷。,下雨了，雖然雨不大，但天氣很冷。,xià yǔ le ， suī rán yǔ bú dà ， dàn tiān qì hěn lěng 。,"It was raining. Although the rain wasn’t heavy, the weather was very cold."
电车,電車,diàn chē,"tram
tramcar
streetcar",晚上十一点。电车来了，一个男人下了车。,晚上十一點。電車來了，一個男人下了車。,wǎn shang shí yī diǎn 。 diàn chē lái le ， yí ge nán rén xià le chē 。,"Eleven o’clock in the evening. The tram arrived, and a man got off."
万,萬,wàn,ten thousand,我爸爸说：“十万块钱，怎么了？”,我爸爸說：“十萬塊錢，怎麼了？”,wǒ bà ba shuō ： “ shí wàn kuài qián ， zěn me le ？”,"My dad said, “100,000 yuan. What’s up?”"
让,讓,ràng,"to make
to cause",我也想让我爸爸高兴。我问我爸爸：“爸爸，你工作一天能有多少钱？”,我也想讓我爸爸高興。我問我爸爸：“爸爸，你工作一天能有多少錢？”,wǒ yě xiǎng ràng wǒ bà ba gāo xìng 。 wǒ wèn wǒ bà ba ： “ bà ba ， nǐ gōng zuò yì tiān néng yǒu duō shao qián ？”,"I also wanted to make my dad happy. I asked my dad, “Dad, how much money do you earn from working for one day?”"
陪陪,陪陪,péi péi,"to accompany
to assist",我可以买你的一天吗？我想你多陪陪我。”,我可以買你的一天嗎？我想你多陪陪我。”,wǒ kě yǐ mǎi nǐ de yì tiān ma ？ wǒ xiǎng nǐ duō péi péi wǒ 。”,Can I buy one day from you? I want you to spend more time with me.”
存,存,cún,"to deposit
to store
to keep",我同学说：“这是1000块钱，我存了好几个月了。,我同學說：“這是1000塊錢，我存了好幾個月了。,wǒ tóng xué shuō ： “ zhè shì 1000 kuài qián ， wǒ cún le hǎo jǐ ge yuè le 。,"My classmate said, “Here is 1,000 yuan, I have been saving up for quite a few months now."
冬天,冬天,dōng tiān,winter,保罗：春天、夏天、秋天和冬天。,保羅：春天、夏天、秋天和冬天。,bǎo luó ： chūn tiān 、 xià tiān 、 qiū tiān hé dōng tiān 。,"Paul: Spring, summer, autumn, and winter."
秋天,秋天,qiū tiān,"autumn
fall",保罗：春天、夏天、秋天和冬天。,保羅：春天、夏天、秋天和冬天。,bǎo luó ： chūn tiān 、 xià tiān 、 qiū tiān hé dōng tiān 。,"Paul: Spring, summer, autumn, and winter."
夏天,夏天,xià tiān,summer,保罗：春天、夏天、秋天和冬天。,保羅：春天、夏天、秋天和冬天。,bǎo luó ： chūn tiān 、 xià tiān 、 qiū tiān hé dōng tiān 。,"Paul: Spring, summer, autumn, and winter."
春天,春天,chūn tiān,spring (season),保罗：春天、夏天、秋天和冬天。,保羅：春天、夏天、秋天和冬天。,bǎo luó ： chūn tiān 、 xià tiān 、 qiū tiān hé dōng tiān 。,"Paul: Spring, summer, autumn, and winter."
